materia
EVALUACION DE PROYECTOS
EXPRESION ORAL Y ESCRITA
FILTRADO DE SEÑALES
FISICA
FISICA BASICA
FISICA DE ONDAS
FISICA DE SEMICONDUCTORES
FISICA GENERAL
FISICA MODERNA
FISICO-QUIMICA
FORMACION DE LIDERES
FUNDAMENTOS DE BASES DE DATOS
FUNDAMENTOS DE ROBOTICA
FUNDAMENTOS Y APLICACION DE LA ENERGIA EOLICA
GEOLOGIA
GEOMATICA
GEOMETRIA ANALITICA
GEOMETRIA SOLAR Y SOLARIMETRIA
GEOTECNIA 1
GEOTECNIA 2
GEOTECNIA I
GEOTECNIA II
GESTION DE PROYECTOS
GESTIÓN DE PROYECTOS DE INVESTIGACIÓN
GRAFICACION
GRAFICACION COMPUTACIONAL
HABILIDADES DIRECTIVAS
HIBRIDACION DE SISTEMAS ENERGETICOS
HIDRAULICA
HIDRAULICA 1
HIDRAULICA 2
HIDRAULICA DE CANALES
HIDRÁULICA DE RIOS
HIDRAULICA Y NEUMATICA INDUSTRIAL
HIDROLOGIA
IMPACTO AMBIENTAL
INFERENCIA ESTADISTICA
INFORMES TÉCNICOS EN INGENIERÍA
INGENIERIA AUTOMOTRIZ
INGENIERIA DE PLASTICOS
INGENIERIA DE SISTEMAS I
INGENIERIA DE SOFTWARE I
INGENIERIA DE SOFTWARE II
INGENIERIA ECONOMICA
INGENIERIA TERMICA
INGLES 5
INGLES 6
INGLES 7
INGLES 8
INGLES C1
INGLES C2
INGLES D1
INGLES D2
INSTALACION CONFIGURACION Y COMUNICACION DE SISTEMAS OPERATIVOS
INSTALACIONES
INSTALACIONES ELECTRICAS
INSTALACIONES ELECTRICAS INDUSTRIALES
INSTALACIONES Y EQUIPOS
INSTRUMENTACION
INTEGRATIVA PROFESIONAL
INTELIGENCIA ARTIFICIAL
INTERACCION HOMBRE-MAQUINA
INTERCONEXION DE REDES
INTRODUCCION A LA INGENIERIA DE LOS SISTEMAS ENERGETICOS SUSTENTABLES
INVESTIGACION DE OPERACIONES
LECTURA Y REDACCION
LEGISLACION INFORMATICA
LEGISLACION Y CONSTRUCCION
LENGUAJE DE PROGRAMACION ESTRUCTURADO
LENGUAJE DE PROGRAMACION ORIENTADO A OBJETOS
LENGUAJE DE PROGRAMACION VISUAL
LENGUAJE ENSAMBLADOR
LENGUAJE GRAFICO
LOGICA
LOGICA SECUENCIAL Y COMBINATORIA
LUBRICACION
MANTENIMIENTO INDUSTRIAL
MANUFACTURA APLICADA
MAQUINAS DE DESPLAZAMIENTO POSITIVO
MAQUINAS ELECTRICAS
MAQUINAS ELECTRICAS 1
MAQUINAS ELECTRICAS 2
MAQUINAS ELECTRICAS I
MAQUINAS ELECTRICAS II
MATEMATICAS DISCRETAS
MATEMATICAS PARA INTELIGENCIA ARTIFICIAL
MATERIALES PARA APLICACIONES FOTOTERMICAS
MATERIALES PARA APLICACIONES OPTOELECTROQUIMICAS
MATERIALES PARA INGENIERIA CIVIL
MECANICA CLASICA
MECANICA DE FLUIDOS
MECANICA DE LA PARTICULA
MECANICA DE MATERIALES
MECANICA DEL MEDIO CONTINUO
METODO DE ELEMENTO FINITO
METODOLOGIA DE LA INVESTIGACION
METODOS COMPUTACIONALES APLICADOS A LA INGENIERIA ENERGETICA
METODOS ESTADISTICOS
METODOS EXPERIMENTALES
METODOS NUMERICOS
METRICAS DE SOFTWARE
METROLOGIA
METROLOGIA DIMENSIONAL
METROLOGIA ELECTRICA Y ELECTRONICA
MICROBIOLOGIA
MICROCONTROLADORES
MICROECONOMIA
MICROPROCESADORES I
MICROPROCESADORES II
MINERIA DE DATOS
MINIREDES DE TRANSMISION INTELIGENTE
MODELADO DE SISTEMAS DINAMICOS APLICADOS
MODELOS DE REDES
MULTIMEDIA
OBRAS HIDRAULICAS
OPTICA
ORGANIZACION DE ARCHIVOS
PAQUETES COMPUTACIONALES
PARADIGMAS DE PROGRAMACION I
PARADIGMAS DE PROGRAMACION II
PEQUEÑAS CENTRALES HIDROELECTRICAS
PRACTICA PROFESIONAL
PROBABILIDAD Y ESTADISTICA
PROBLEMAS SOCIOECONOMICOS DE MEXICO
PROCESAMIENTO DE IMAGENES DIGITALES
PROCESOS CONSTRUCTIVOS
PROCESOS DE MANUFACTURA
PROCESOS DE MANUFACTURA 1
PROCESOS DE MANUFACTURA 2
PRODUCCION AUTOMATIZADA
PROGRAMACION AVANZADA
PROGRAMACION BASICA
PROGRAMACION ESTRUCTURADA
PROGRAMACION I
PROGRAMACION II
PROGRAMACION ORIENTADA A OBJETOS
PROGRAMACION PARALELA Y DISTRIBUIDA
PROTOCOLOS DE COMUNICACION DE DATOS
PROTOCOLOS DE RED
PROYECTO DE DISEÑO DE MAQUINAS
PROYECTO DE INSTALACIONES ELECTROMECANICAS
PROYECTO EJECUTIVO DE CARRETERAS
PROYECTO TERMINAL
PROYECTOS DE INGENIERIA
PROYECTOS DE INSTRUMENTACION
PSICOLOGIA INDUSTRIAL
PUENTES
QUIMICA
QUIMICA GENERAL
RADIACION Y PROPAGACION ELECTROMAGNETICA
REDACCION TECNICA
REDES DE COMPUTADORAS
REDES DE COMUNICACIÓN
REDES NEURONALES
ROBOTICA
ROBOTICA AVANZADA
SEGURIDAD EN REDES
SEMINARIO DE INVESTIGACION
SEMINARIO DE TITULACION I
SEMINARIO DE TITULACION II
SERVICIOS DE INTERNET
SIMULACION
SINTESIS DE MECANISMOS
SISTEMA DE RIEGO Y DRENAJE
SISTEMAS ANALOGICOS
SISTEMAS DE INGENIERIA CIVIL 1
SISTEMAS DE INGENIERIA CIVIL 2
SISTEMAS DE TRATAMIENTO
SISTEMAS DIGITALES
SISTEMAS DIGITALES I
SISTEMAS DIGITALES II
SISTEMAS ELECTRICOS DE POTENCIA
SISTEMAS EMBEBIDOS
SISTEMAS EXPERTOS
SISTEMAS FOTOVOLTAICOS
SISTEMAS GEOTERMICOS
SISTEMAS GESTORES DE BASES DE DATOS
SISTEMAS LINEALES Y SEÑALES
SISTEMAS OPERATIVOS
SISTEMAS PARA EL ALMACENAMIENTO DE LA ENERGIA
SOCIEDAD E INGENIERIA
SOCIOLOGIA
SOFTWARE DE TRANSPORTE
TECNOLOGIA DEL HIDROGENO
TECNOLOGIA ECOLOGICA
TEMAS SELECTOS DE EPISTEMOLOGIA DE LA CIENCIA
TEMAS SELECTOS DE SISTEMAS EFICIENTES DE COMBUSTION
TEMAS SELECTOS DE SISTEMAS FOTOVOLTAICOS
TEORIA DE LA TECNICA
TEORIA DE SISTEMAS
TEORIA ELECTROMAGNETICA I
TEORIA ELECTROMAGNETICA II
TEORIA ESTRUCTURAL
TERMODINAMICA
TERMODINAMICA Y ELECTROMAGNETISMO
TERMOECONOMIA
TERMOQUIMICA
TIPOS DE SISTEMAS OPERATIVOS
TIPOS Y CONFIGURACIONES
TOPOGRAFIA
TRANSFERENCIA DE CALOR
TRANSMISION DE DATOS
TRANSPORTE
TRATAMIENTO DE IMAGENES
TRIGENERACION Y CICLOS AVANZADOS
TURBOMAQUINARIA
TURBOMAQUINAS GENERADORAS
TURBOMAQUINAS MOTORAS
VARIABLE COMPLEJA
VIAS TERRESTRES
VIBRACIONES MECANICAS
VISION ARTIFICIAL
VIVIENDA
